# slug	dex	name	types   (generated by update-pokedex.sh; local, no runtime network)
rhyhorn	111	Rhyhorn	ground,rock
rhydon	112	Rhydon	ground,rock
chansey	113	Chansey	normal
tangela	114	Tangela	grass
kangaskhan	115	Kangaskhan	normal
horsea	116	Horsea	water
seadra	117	Seadra	water
goldeen	118	Goldeen	water
seaking	119	Seaking	water
staryu	120	Staryu	water
starmie	121	Starmie	water,psychic
mr-mime	122	Mr. Mime	psychic,fairy
scyther	123	Scyther	bug,flying
jynx	124	Jynx	ice,psychic
electabuzz	125	Electabuzz	electric
magmar	126	Magmar	fire
pinsir	127	Pinsir	bug
tauros	128	Tauros	normal
magikarp	129	Magikarp	water
gyarados	130	Gyarados	water,flying
lapras	131	Lapras	water,ice
ditto	132	Ditto	normal
eevee	133	Eevee	normal
vaporeon	134	Vaporeon	water
jolteon	135	Jolteon	electric
flareon	136	Flareon	fire
porygon	137	Porygon	normal
omanyte	138	Omanyte	rock,water
omastar	139	Omastar	rock,water
kabuto	140	Kabuto	rock,water
kabutops	141	Kabutops	rock,water
aerodactyl	142	Aerodactyl	rock,flying
snorlax	143	Snorlax	normal
articuno	144	Articuno	ice,flying
zapdos	145	Zapdos	electric,flying
moltres	146	Moltres	fire,flying
dratini	147	Dratini	dragon
dragonair	148	Dragonair	dragon
dragonite	149	Dragonite	dragon,flying
mewtwo	150	Mewtwo	psychic
mew	151	Mew	psychic
chikorita	152	Chikorita	grass
bayleef	153	Bayleef	grass
meganium	154	Meganium	grass
cyndaquil	155	Cyndaquil	fire
quilava	156	Quilava	fire
typhlosion	157	Typhlosion	fire
totodile	158	Totodile	water
croconaw	159	Croconaw	water
feraligatr	160	Feraligatr	water
sentret	161	Sentret	normal
furret	162	Furret	normal
hoothoot	163	Hoothoot	normal,flying
noctowl	164	Noctowl	normal,flying
ledyba	165	Ledyba	bug,flying
ledian	166	Ledian	bug,flying
spinarak	167	Spinarak	bug,poison
ariados	168	Ariados	bug,poison
crobat	169	Crobat	poison,flying
chinchou	170	Chinchou	water,electric
lanturn	171	Lanturn	water,electric
pichu	172	Pichu	electric
cleffa	173	Cleffa	fairy
igglybuff	174	Igglybuff	normal,fairy
togepi	175	Togepi	fairy
togetic	176	Togetic	fairy,flying
natu	177	Natu	psychic,flying
xatu	178	Xatu	psychic,flying
mareep	179	Mareep	electric
flaaffy	180	Flaaffy	electric
ampharos	181	Ampharos	electric
bellossom	182	Bellossom	grass
marill	183	Marill	water,fairy
azumarill	184	Azumarill	water,fairy
sudowoodo	185	Sudowoodo	rock
politoed	186	Politoed	water
hoppip	187	Hoppip	grass,flying
skiploom	188	Skiploom	grass,flying
jumpluff	189	Jumpluff	grass,flying
aipom	190	Aipom	normal
sunkern	191	Sunkern	grass
sunflora	192	Sunflora	grass
yanma	193	Yanma	bug,flying
wooper	194	Wooper	water,ground
quagsire	195	Quagsire	water,ground
espeon	196	Espeon	psychic
umbreon	197	Umbreon	dark
murkrow	198	Murkrow	dark,flying
slowking	199	Slowking	water,psychic
misdreavus	200	Misdreavus	ghost
unown	201	Unown	psychic
wobbuffet	202	Wobbuffet	psychic
girafarig	203	Girafarig	normal,psychic
pineco	204	Pineco	bug
forretress	205	Forretress	bug,steel
dunsparce	206	Dunsparce	normal
gligar	207	Gligar	ground,flying
steelix	208	Steelix	steel,ground
snubbull	209	Snubbull	fairy
granbull	210	Granbull	fairy
qwilfish	211	Qwilfish	water,poison
scizor	212	Scizor	bug,steel
shuckle	213	Shuckle	bug,rock
heracross	214	Heracross	bug,fighting
sneasel	215	Sneasel	dark,ice
teddiursa	216	Teddiursa	normal
ursaring	217	Ursaring	normal
slugma	218	Slugma	fire
magcargo	219	Magcargo	fire,rock
swinub	220	Swinub	ice,ground
piloswine	221	Piloswine	ice,ground
corsola	222	Corsola	water,rock
remoraid	223	Remoraid	water
octillery	224	Octillery	water
delibird	225	Delibird	ice,flying
mantine	226	Mantine	water,flying
skarmory	227	Skarmory	steel,flying
houndour	228	Houndour	dark,fire
houndoom	229	Houndoom	dark,fire
kingdra	230	Kingdra	water,dragon
phanpy	231	Phanpy	ground
donphan	232	Donphan	ground
porygon2	233	Porygon2	normal
stantler	234	Stantler	normal
smeargle	235	Smeargle	normal
tyrogue	236	Tyrogue	fighting
hitmontop	237	Hitmontop	fighting
smoochum	238	Smoochum	ice,psychic
elekid	239	Elekid	electric
magby	240	Magby	fire
miltank	241	Miltank	normal
blissey	242	Blissey	normal
raikou	243	Raikou	electric
entei	244	Entei	fire
suicune	245	Suicune	water
larvitar	246	Larvitar	rock,ground
pupitar	247	Pupitar	rock,ground
tyranitar	248	Tyranitar	rock,dark
lugia	249	Lugia	psychic,flying
ho-oh	250	Ho-oh	fire,flying
celebi	251	Celebi	psychic,grass
treecko	252	Treecko	grass
grovyle	253	Grovyle	grass
sceptile	254	Sceptile	grass
torchic	255	Torchic	fire
combusken	256	Combusken	fire,fighting
blaziken	257	Blaziken	fire,fighting
mudkip	258	Mudkip	water
marshtomp	259	Marshtomp	water,ground
swampert	260	Swampert	water,ground
poochyena	261	Poochyena	dark
mightyena	262	Mightyena	dark
zigzagoon	263	Zigzagoon	normal
linoone	264	Linoone	normal
wurmple	265	Wurmple	bug
silcoon	266	Silcoon	bug
beautifly	267	Beautifly	bug,flying
cascoon	268	Cascoon	bug
dustox	269	Dustox	bug,poison
lotad	270	Lotad	water,grass
lombre	271	Lombre	water,grass
ludicolo	272	Ludicolo	water,grass
seedot	273	Seedot	grass
nuzleaf	274	Nuzleaf	grass,dark
shiftry	275	Shiftry	grass,dark
taillow	276	Taillow	normal,flying
swellow	277	Swellow	normal,flying
wingull	278	Wingull	water,flying
pelipper	279	Pelipper	water,flying
ralts	280	Ralts	psychic,fairy
kirlia	281	Kirlia	psychic,fairy
gardevoir	282	Gardevoir	psychic,fairy
surskit	283	Surskit	bug,water
masquerain	284	Masquerain	bug,flying
shroomish	285	Shroomish	grass
breloom	286	Breloom	grass,fighting
slakoth	287	Slakoth	normal
vigoroth	288	Vigoroth	normal
slaking	289	Slaking	normal
nincada	290	Nincada	bug,ground
ninjask	291	Ninjask	bug,flying
shedinja	292	Shedinja	bug,ghost
whismur	293	Whismur	normal
loudred	294	Loudred	normal
exploud	295	Exploud	normal
makuhita	296	Makuhita	fighting
hariyama	297	Hariyama	fighting
azurill	298	Azurill	normal,fairy
nosepass	299	Nosepass	rock
skitty	300	Skitty	normal
delcatty	301	Delcatty	normal
sableye	302	Sableye	dark,ghost
mawile	303	Mawile	steel,fairy
aron	304	Aron	steel,rock
lairon	305	Lairon	steel,rock
aggron	306	Aggron	steel,rock
meditite	307	Meditite	fighting,psychic
medicham	308	Medicham	fighting,psychic
electrike	309	Electrike	electric
manectric	310	Manectric	electric
plusle	311	Plusle	electric
minun	312	Minun	electric
volbeat	313	Volbeat	bug
illumise	314	Illumise	bug
roselia	315	Roselia	grass,poison
gulpin	316	Gulpin	poison
swalot	317	Swalot	poison
carvanha	318	Carvanha	water,dark
sharpedo	319	Sharpedo	water,dark
wailmer	320	Wailmer	water
wailord	321	Wailord	water
numel	322	Numel	fire,ground
camerupt	323	Camerupt	fire,ground
torkoal	324	Torkoal	fire
spoink	325	Spoink	psychic
grumpig	326	Grumpig	psychic
spinda	327	Spinda	normal
trapinch	328	Trapinch	ground
vibrava	329	Vibrava	ground,dragon
flygon	330	Flygon	ground,dragon
cacnea	331	Cacnea	grass
cacturne	332	Cacturne	grass,dark
swablu	333	Swablu	normal,flying
altaria	334	Altaria	dragon,flying
zangoose	335	Zangoose	normal
seviper	336	Seviper	poison
lunatone	337	Lunatone	rock,psychic
solrock	338	Solrock	rock,psychic
barboach	339	Barboach	water,ground
whiscash	340	Whiscash	water,ground
corphish	341	Corphish	water
crawdaunt	342	Crawdaunt	water,dark
baltoy	343	Baltoy	ground,psychic
claydol	344	Claydol	ground,psychic
lileep	345	Lileep	rock,grass
cradily	346	Cradily	rock,grass
anorith	347	Anorith	rock,bug
armaldo	348	Armaldo	rock,bug
feebas	349	Feebas	water
milotic	350	Milotic	water
castform	351	Castform	normal
kecleon	352	Kecleon	normal
shuppet	353	Shuppet	ghost
banette	354	Banette	ghost
duskull	355	Duskull	ghost
dusclops	356	Dusclops	ghost
tropius	357	Tropius	grass,flying
chimecho	358	Chimecho	psychic
absol	359	Absol	dark
wynaut	360	Wynaut	psychic
snorunt	361	Snorunt	ice
glalie	362	Glalie	ice
spheal	363	Spheal	ice,water
sealeo	364	Sealeo	ice,water
walrein	365	Walrein	ice,water
clamperl	366	Clamperl	water
huntail	367	Huntail	water
gorebyss	368	Gorebyss	water
relicanth	369	Relicanth	water,rock
luvdisc	370	Luvdisc	water
bagon	371	Bagon	dragon
shelgon	372	Shelgon	dragon
salamence	373	Salamence	dragon,flying
beldum	374	Beldum	steel,psychic
metang	375	Metang	steel,psychic
metagross	376	Metagross	steel,psychic
regirock	377	Regirock	rock
regice	378	Regice	ice
registeel	379	Registeel	steel
latias	380	Latias	dragon,psychic
latios	381	Latios	dragon,psychic
kyogre	382	Kyogre	water
groudon	383	Groudon	ground
rayquaza	384	Rayquaza	dragon,flying
jirachi	385	Jirachi	steel,psychic
deoxys	386	Deoxys	psychic
turtwig	387	Turtwig	grass
grotle	388	Grotle	grass
torterra	389	Torterra	grass,ground
chimchar	390	Chimchar	fire
monferno	391	Monferno	fire,fighting
infernape	392	Infernape	fire,fighting
piplup	393	Piplup	water
prinplup	394	Prinplup	water
empoleon	395	Empoleon	water,steel
starly	396	Starly	normal,flying
staravia	397	Staravia	normal,flying
staraptor	398	Staraptor	normal,flying
bidoof	399	Bidoof	normal
bibarel	400	Bibarel	normal,water
kricketot	401	Kricketot	bug
kricketune	402	Kricketune	bug
shinx	403	Shinx	electric
luxio	404	Luxio	electric
luxray	405	Luxray	electric
budew	406	Budew	grass,poison
roserade	407	Roserade	grass,poison
cranidos	408	Cranidos	rock
rampardos	409	Rampardos	rock
shieldon	410	Shieldon	rock,steel
bastiodon	411	Bastiodon	rock,steel
burmy	412	Burmy	bug
wormadam	413	Wormadam	bug,grass
mothim	414	Mothim	bug,flying
combee	415	Combee	bug,flying
vespiquen	416	Vespiquen	bug,flying
pachirisu	417	Pachirisu	electric
buizel	418	Buizel	water
floatzel	419	Floatzel	water
cherubi	420	Cherubi	grass
cherrim	421	Cherrim	grass
shellos	422	Shellos	water
gastrodon	423	Gastrodon	water,ground
ambipom	424	Ambipom	normal
drifloon	425	Drifloon	ghost,flying
drifblim	426	Drifblim	ghost,flying
buneary	427	Buneary	normal
lopunny	428	Lopunny	normal
mismagius	429	Mismagius	ghost
honchkrow	430	Honchkrow	dark,flying
glameow	431	Glameow	normal
purugly	432	Purugly	normal
chingling	433	Chingling	psychic
stunky	434	Stunky	poison,dark
skuntank	435	Skuntank	poison,dark
bronzor	436	Bronzor	steel,psychic
bronzong	437	Bronzong	steel,psychic
bonsly	438	Bonsly	rock
mime-jr	439	Mime Jr	psychic,fairy
happiny	440	Happiny	normal
chatot	441	Chatot	normal,flying
spiritomb	442	Spiritomb	ghost,dark
gible	443	Gible	dragon,ground
gabite	444	Gabite	dragon,ground
garchomp	445	Garchomp	dragon,ground
munchlax	446	Munchlax	normal
riolu	447	Riolu	fighting
lucario	448	Lucario	fighting,steel
hippopotas	449	Hippopotas	ground
hippowdon	450	Hippowdon	ground
skorupi	451	Skorupi	poison,bug
drapion	452	Drapion	poison,dark
croagunk	453	Croagunk	poison,fighting
toxicroak	454	Toxicroak	poison,fighting
carnivine	455	Carnivine	grass
finneon	456	Finneon	water
lumineon	457	Lumineon	water
mantyke	458	Mantyke	water,flying
snover	459	Snover	grass,ice
abomasnow	460	Abomasnow	grass,ice
weavile	461	Weavile	dark,ice
magnezone	462	Magnezone	electric,steel
lickilicky	463	Lickilicky	normal
rhyperior	464	Rhyperior	ground,rock
tangrowth	465	Tangrowth	grass
electivire	466	Electivire	electric
magmortar	467	Magmortar	fire
togekiss	468	Togekiss	fairy,flying
yanmega	469	Yanmega	bug,flying
leafeon	470	Leafeon	grass
glaceon	471	Glaceon	ice
gliscor	472	Gliscor	ground,flying
mamoswine	473	Mamoswine	ice,ground
porygon-z	474	Porygon-Z	normal
gallade	475	Gallade	psychic,fighting
probopass	476	Probopass	rock,steel
dusknoir	477	Dusknoir	ghost
froslass	478	Froslass	ice,ghost
rotom	479	Rotom	electric,ghost
uxie	480	Uxie	psychic
mesprit	481	Mesprit	psychic
azelf	482	Azelf	psychic
dialga	483	Dialga	steel,dragon
palkia	484	Palkia	water,dragon
heatran	485	Heatran	fire,steel
regigigas	486	Regigigas	normal
giratina	487	Giratina	ghost,dragon
cresselia	488	Cresselia	psychic
phione	489	Phione	water
manaphy	490	Manaphy	water
darkrai	491	Darkrai	dark
shaymin	492	Shaymin	grass
arceus	493	Arceus	normal
victini	494	Victini	psychic,fire
snivy	495	Snivy	grass
servine	496	Servine	grass
serperior	497	Serperior	grass
tepig	498	Tepig	fire
pignite	499	Pignite	fire,fighting
emboar	500	Emboar	fire,fighting
oshawott	501	Oshawott	water
dewott	502	Dewott	water
samurott	503	Samurott	water
patrat	504	Patrat	normal
watchog	505	Watchog	normal
lillipup	506	Lillipup	normal
herdier	507	Herdier	normal
stoutland	508	Stoutland	normal
purrloin	509	Purrloin	dark
liepard	510	Liepard	dark
pansage	511	Pansage	grass
simisage	512	Simisage	grass
pansear	513	Pansear	fire
simisear	514	Simisear	fire
panpour	515	Panpour	water
simipour	516	Simipour	water
munna	517	Munna	psychic
musharna	518	Musharna	psychic
pidove	519	Pidove	normal,flying
tranquill	520	Tranquill	normal,flying
unfezant	521	Unfezant	normal,flying
blitzle	522	Blitzle	electric
zebstrika	523	Zebstrika	electric
roggenrola	524	Roggenrola	rock
boldore	525	Boldore	rock
gigalith	526	Gigalith	rock
woobat	527	Woobat	psychic,flying
swoobat	528	Swoobat	psychic,flying
drilbur	529	Drilbur	ground
excadrill	530	Excadrill	ground,steel
audino	531	Audino	normal
timburr	532	Timburr	fighting
gurdurr	533	Gurdurr	fighting
conkeldurr	534	Conkeldurr	fighting
tympole	535	Tympole	water
palpitoad	536	Palpitoad	water,ground
seismitoad	537	Seismitoad	water,ground
throh	538	Throh	fighting
sawk	539	Sawk	fighting
sewaddle	540	Sewaddle	bug,grass
swadloon	541	Swadloon	bug,grass
leavanny	542	Leavanny	bug,grass
venipede	543	Venipede	bug,poison
whirlipede	544	Whirlipede	bug,poison
scolipede	545	Scolipede	bug,poison
cottonee	546	Cottonee	grass,fairy
whimsicott	547	Whimsicott	grass,fairy
petilil	548	Petilil	grass
lilligant	549	Lilligant	grass
basculin	550	Basculin	water
sandile	551	Sandile	ground,dark
krokorok	552	Krokorok	ground,dark
krookodile	553	Krookodile	ground,dark
darumaka	554	Darumaka	fire
darmanitan	555	Darmanitan	fire
maractus	556	Maractus	grass
dwebble	557	Dwebble	bug,rock
crustle	558	Crustle	bug,rock
scraggy	559	Scraggy	dark,fighting
scrafty	560	Scrafty	dark,fighting
sigilyph	561	Sigilyph	psychic,flying
yamask	562	Yamask	ghost
cofagrigus	563	Cofagrigus	ghost
tirtouga	564	Tirtouga	water,rock
carracosta	565	Carracosta	water,rock
archen	566	Archen	rock,flying
archeops	567	Archeops	rock,flying
trubbish	568	Trubbish	poison
garbodor	569	Garbodor	poison
zorua	570	Zorua	dark
zoroark	571	Zoroark	dark
minccino	572	Minccino	normal
cinccino	573	Cinccino	normal
gothita	574	Gothita	psychic
gothorita	575	Gothorita	psychic
gothitelle	576	Gothitelle	psychic
solosis	577	Solosis	psychic
duosion	578	Duosion	psychic
reuniclus	579	Reuniclus	psychic
ducklett	580	Ducklett	water,flying
swanna	581	Swanna	water,flying
vanillite	582	Vanillite	ice
vanillish	583	Vanillish	ice
vanilluxe	584	Vanilluxe	ice
deerling	585	Deerling	normal,grass
sawsbuck	586	Sawsbuck	normal,grass
emolga	587	Emolga	electric,flying
karrablast	588	Karrablast	bug
escavalier	589	Escavalier	bug,steel
foongus	590	Foongus	grass,poison
amoonguss	591	Amoonguss	grass,poison
frillish	592	Frillish	water,ghost
jellicent	593	Jellicent	water,ghost
alomomola	594	Alomomola	water
joltik	595	Joltik	bug,electric
galvantula	596	Galvantula	bug,electric
ferroseed	597	Ferroseed	grass,steel
ferrothorn	598	Ferrothorn	grass,steel
klink	599	Klink	steel
klang	600	Klang	steel
klinklang	601	Klinklang	steel
tynamo	602	Tynamo	electric
eelektrik	603	Eelektrik	electric
eelektross	604	Eelektross	electric
elgyem	605	Elgyem	psychic
beheeyem	606	Beheeyem	psychic
litwick	607	Litwick	ghost,fire
lampent	608	Lampent	ghost,fire
chandelure	609	Chandelure	ghost,fire
axew	610	Axew	dragon
fraxure	611	Fraxure	dragon
haxorus	612	Haxorus	dragon
cubchoo	613	Cubchoo	ice
beartic	614	Beartic	ice
cryogonal	615	Cryogonal	ice
shelmet	616	Shelmet	bug
accelgor	617	Accelgor	bug
stunfisk	618	Stunfisk	ground,electric
mienfoo	619	Mienfoo	fighting
mienshao	620	Mienshao	fighting
druddigon	621	Druddigon	dragon
golett	622	Golett	ground,ghost
golurk	623	Golurk	ground,ghost
pawniard	624	Pawniard	dark,steel
bisharp	625	Bisharp	dark,steel
bouffalant	626	Bouffalant	normal
rufflet	627	Rufflet	normal,flying
braviary	628	Braviary	normal,flying
vullaby	629	Vullaby	dark,flying
mandibuzz	630	Mandibuzz	dark,flying
heatmor	631	Heatmor	fire
durant	632	Durant	bug,steel
deino	633	Deino	dark,dragon
zweilous	634	Zweilous	dark,dragon
hydreigon	635	Hydreigon	dark,dragon
larvesta	636	Larvesta	bug,fire
volcarona	637	Volcarona	bug,fire
cobalion	638	Cobalion	steel,fighting
terrakion	639	Terrakion	rock,fighting
virizion	640	Virizion	grass,fighting
tornadus	641	Tornadus	flying
thundurus	642	Thundurus	electric,flying
reshiram	643	Reshiram	dragon,fire
zekrom	644	Zekrom	dragon,electric
landorus	645	Landorus	ground,flying
kyurem	646	Kyurem	dragon,ice
keldeo	647	Keldeo	water,fighting
meloetta	648	Meloetta	normal,psychic
genesect	649	Genesect	bug,steel
chespin	650	Chespin	grass
quilladin	651	Quilladin	grass
chesnaught	652	Chesnaught	grass,fighting
fennekin	653	Fennekin	fire
braixen	654	Braixen	fire
delphox	655	Delphox	fire,psychic
froakie	656	Froakie	water
frogadier	657	Frogadier	water
greninja	658	Greninja	water,dark
bunnelby	659	Bunnelby	normal
diggersby	660	Diggersby	normal,ground
fletchling	661	Fletchling	normal,flying
fletchinder	662	Fletchinder	fire,flying
talonflame	663	Talonflame	fire,flying
scatterbug	664	Scatterbug	bug
spewpa	665	Spewpa	bug
vivillon	666	Vivillon	bug,flying
litleo	667	Litleo	fire,normal
pyroar	668	Pyroar	fire,normal
flabebe	669	Flabebe	fairy
floette	670	Floette	fairy
florges	671	Florges	fairy
skiddo	672	Skiddo	grass
gogoat	673	Gogoat	grass
pancham	674	Pancham	fighting
pangoro	675	Pangoro	fighting,dark
furfrou	676	Furfrou	normal
espurr	677	Espurr	psychic
meowstic	678	Meowstic	psychic
honedge	679	Honedge	steel,ghost
doublade	680	Doublade	steel,ghost
aegislash	681	Aegislash	steel,ghost
spritzee	682	Spritzee	fairy
aromatisse	683	Aromatisse	fairy
swirlix	684	Swirlix	fairy
slurpuff	685	Slurpuff	fairy
inkay	686	Inkay	dark,psychic
malamar	687	Malamar	dark,psychic
binacle	688	Binacle	rock,water
barbaracle	689	Barbaracle	rock,water
skrelp	690	Skrelp	poison,water
dragalge	691	Dragalge	poison,dragon
clauncher	692	Clauncher	water
clawitzer	693	Clawitzer	water
helioptile	694	Helioptile	electric,normal
heliolisk	695	Heliolisk	electric,normal
tyrunt	696	Tyrunt	rock,dragon
tyrantrum	697	Tyrantrum	rock,dragon
amaura	698	Amaura	rock,ice
aurorus	699	Aurorus	rock,ice
sylveon	700	Sylveon	fairy
hawlucha	701	Hawlucha	fighting,flying
dedenne	702	Dedenne	electric,fairy
carbink	703	Carbink	rock,fairy
goomy	704	Goomy	dragon
sliggoo	705	Sliggoo	dragon
goodra	706	Goodra	dragon
klefki	707	Klefki	steel,fairy
phantump	708	Phantump	ghost,grass
trevenant	709	Trevenant	ghost,grass
pumpkaboo	710	Pumpkaboo	ghost,grass
gourgeist	711	Gourgeist	ghost,grass
bergmite	712	Bergmite	ice
avalugg	713	Avalugg	ice
noibat	714	Noibat	flying,dragon
noivern	715	Noivern	flying,dragon
xerneas	716	Xerneas	fairy
yveltal	717	Yveltal	dark,flying
zygarde	718	Zygarde	dragon,ground
diancie	719	Diancie	rock,fairy
hoopa	720	Hoopa	psychic,ghost
volcanion	721	Volcanion	fire,water
rowlet	722	Rowlet	grass,flying
dartrix	723	Dartrix	grass,flying
decidueye	724	Decidueye	grass,ghost
litten	725	Litten	fire
torracat	726	Torracat	fire
incineroar	727	Incineroar	fire,dark
popplio	728	Popplio	water
brionne	729	Brionne	water
primarina	730	Primarina	water,fairy
pikipek	731	Pikipek	normal,flying
trumbeak	732	Trumbeak	normal,flying
toucannon	733	Toucannon	normal,flying
yungoos	734	Yungoos	normal
gumshoos	735	Gumshoos	normal
grubbin	736	Grubbin	bug
charjabug	737	Charjabug	bug,electric
vikavolt	738	Vikavolt	bug,electric
crabrawler	739	Crabrawler	fighting
crabominable	740	Crabominable	fighting,ice
oricorio	741	Oricorio	fire,flying
cutiefly	742	Cutiefly	bug,fairy
ribombee	743	Ribombee	bug,fairy
rockruff	744	Rockruff	rock
lycanroc	745	Lycanroc	rock
wishiwashi	746	Wishiwashi	water
mareanie	747	Mareanie	poison,water
toxapex	748	Toxapex	poison,water
mudbray	749	Mudbray	ground
mudsdale	750	Mudsdale	ground
dewpider	751	Dewpider	water,bug
araquanid	752	Araquanid	water,bug
fomantis	753	Fomantis	grass
lurantis	754	Lurantis	grass
morelull	755	Morelull	grass,fairy
shiinotic	756	Shiinotic	grass,fairy
salandit	757	Salandit	poison,fire
salazzle	758	Salazzle	poison,fire
stufful	759	Stufful	normal,fighting
bewear	760	Bewear	normal,fighting
bounsweet	761	Bounsweet	grass
steenee	762	Steenee	grass
tsareena	763	Tsareena	grass
comfey	764	Comfey	fairy
oranguru	765	Oranguru	normal,psychic
passimian	766	Passimian	fighting
wimpod	767	Wimpod	bug,water
golisopod	768	Golisopod	bug,water
sandygast	769	Sandygast	ghost,ground
palossand	770	Palossand	ghost,ground
pyukumuku	771	Pyukumuku	water
type-null	772	Type: Null	normal
silvally	773	Silvally	normal
minior	774	Minior	rock,flying
komala	775	Komala	normal
turtonator	776	Turtonator	fire,dragon
togedemaru	777	Togedemaru	electric,steel
mimikyu	778	Mimikyu	ghost,fairy
bruxish	779	Bruxish	water,psychic
drampa	780	Drampa	normal,dragon
dhelmise	781	Dhelmise	ghost,grass
jangmo-o	782	Jangmo-o	dragon
hakamo-o	783	Hakamo-o	dragon,fighting
kommo-o	784	Kommo-o	dragon,fighting
tapu-koko	785	Tapu Koko	electric,fairy
tapu-lele	786	Tapu Lele	psychic,fairy
tapu-bulu	787	Tapu Bulu	grass,fairy
tapu-fini	788	Tapu Fini	water,fairy
cosmog	789	Cosmog	psychic
cosmoem	790	Cosmoem	psychic
solgaleo	791	Solgaleo	psychic,steel
lunala	792	Lunala	psychic,ghost
nihilego	793	Nihilego	rock,poison
buzzwole	794	Buzzwole	bug,fighting
pheromosa	795	Pheromosa	bug,fighting
xurkitree	796	Xurkitree	electric
celesteela	797	Celesteela	steel,flying
kartana	798	Kartana	grass,steel
guzzlord	799	Guzzlord	dark,dragon
necrozma	800	Necrozma	psychic
magearna	801	Magearna	steel,fairy
marshadow	802	Marshadow	fighting,ghost
poipole	803	Poipole	poison
naganadel	804	Naganadel	poison,dragon
stakataka	805	Stakataka	rock,steel
blacephalon	806	Blacephalon	fire,ghost
zeraora	807	Zeraora	electric
meltan	808	Meltan	steel
melmetal	809	Melmetal	steel
grookey	810	Grookey	grass
thwackey	811	Thwackey	grass
rillaboom	812	Rillaboom	grass
